subs,title
"Common DRM techniques,DRM and computer games,DRM and documents,DRM and e-books,DRM and film,DRM and music,DRM and television,Metadata,Watermarks,Digital Millennium Copyright Act,International issues,DRM-free works,Methods to bypass DRM,Analog hole,DRM on general computing platforms,DRM on purpose-built hardware,Watermarks,Mass piracy failure,Obsolescence,Moral and legitimacy implications,Not all piracy is undesirable to digital rights holders,Can increase piracy,""Easy and cheap"",Instantaneous cloud media,Digital content as promotion for traditional products,Artistic Freedom Voucher,Related concepts,Lawsuits,Organizations",Digital rights management
,Mawangdui Silk Texts
,"Rendering,Want to print more than one article?"
,"Rendering,Want to print more than one article?"
"QTFairUse,Playfair, Hymn, and JHymn,Harmony: RealPlayer Music on the iPod,Requiem,Conversion,Selected responses to ,EMI music made available DRM-free,Announcement of FairPlay restrictions removal",FairPlay
,Cite
" Adding pages without visiting them , Adding whole categories ",Book creator
,Editing FairPlay (section)
,"Information for ""FairPlay"""
"""Chinese Professor"" ad",Citizens Against Government Waste
,Defective by Design
,"Rendering,Want to print more than one article?"
,Elmer E. Rasmuson Library
,Category:Wikipedia move-protected pages
,Category:Wikipedia protected pages without expiry
,Category:Wikipedia pages with incorrect protection templates
,Category:WikiProject reference libraries
,Log in / create account
,Log in / create account
,SourceWatch
,Sourcewatch
" Adding pages without visiting them , Adding whole categories ",Book creator
,"Rendering,Want to print more than one article?"
,Trope (literature)
,University of the Highlands and Islands
,Cite
"Foundation,Early cases,Expansion and development,DES Cracker,Litigation,Awards",Electronic Frontier Foundation
,"Information for ""SourceWatch"""
,"Changes related to ""SourceWatch"""
"Bailrigg,Major projects,South-west campus,Services,List of Chancellors,List of Vice-Chancellors,Chancellors Wharf,Sport,Religious groups,Lancaster University Students' Union,Visitor,Council,Senate",Lancaster University
,"Rendering,Want to print more than one article?"
" Adding pages without visiting them , Adding whole categories ",Book creator
,Cite
,"Rendering,Want to print more than one article?"
,"Pages that link to ""Lancaster University"""
,"Information for ""Lancaster University"""
,"Changes related to ""Lancaster University"""
,Talk:Lancaster University
,Log in / create account
,Lancaster University: Revision history
,"Rendering,Want to print more than one article?"
,Category:Freedom of expression organizations
,Log in / create account
,"Rendering,Want to print more than one article?"
,Editing Lancaster University
,Category:1964 establishments in England
,Category:Articles with unsourced statements from June 2008
,Category:Articles with dead external links from September 2011
,Category:Articles with unsourced statements from February 2012
,Category:Articles with unsourced statements from December 2012
,Category:Articles with unsourced statements from November 2012
,Category:1994 Group
,Category:Lancaster University
,Category:Education in Lancaster
,Category:Buildings and structures in Lancaster
,Category:Association of Commonwealth Universities
,ICESI University
"[,],Bailrigg,[,],Major projects,[,],South-west campus,[,],Services,[,],List of Chancellors,[,],List of Vice-Chancellors,[,],Chancellors Wharf,[,],Sport,[,],Religious groups,[,],Lancaster University Students' Union,[,],Visitor,[,],Council,[,],Senate",Lancaster University
,"University of Santiago, Chile"
"[,],Modern day,[,],Faculties and departments",Pontifical Xavierian University
,Catholic University of the Most Holy Conception
"[,],Background,[,],Universidad de Chile,[,],Major Reforms during Military Regime of 1973-1989",University of Chile
,Category:Educational institutions established in 1964
"[,],Early days,[,],Development into a university",Embry–Riddle Aeronautical University
"[,],Identity,[,],Early years,[,],The American Civil War,[,],From the Civil War to World War I,[,],World War I to World War II,[,],World War II to present,[,],Halls and principal buildings,[,],Monuments and memorials,[,],Brigade sports complex,[,],Cemetery and columbarium,[,],Glenn Warner Soccer Facility,[,],Navy-Marine Corps Memorial Stadium,[,],Terwilliger Brothers Field,[,],Admissions requirements,[,],Moral education,[,],Naval Academy Foreign Affairs Conference (NAFAC),[,],Small Satellite Program,[,],Postgraduate Studies,[,],Athletics,[,],Song,[,],Other extra-curricular activities",United States Naval Academy
,Daniel Webster College
,University of Colorado
,Polytechnic University of Catalonia
"[,],Board of Trustees,[,],Chancellor,[,],Student body organizations,[,],Salary,[,],Off campus branches,[,],Laboratories and observatories,[,],Former campuses,[,],Admission standards,[,],Campus naming conventions,[,],Impacted Campuses,[,],Special admissions process for the California Maritime Academy,[,],AAU, AASCU and APLU,[,],ABET,[,],CENIC,[,],Statewide University Programs",California State University
,École Polytechnique de Montréal
"[,],Milano Leonardo,[,],Milano Bovisa,[,],Other campuses,[,],Rankings,[,],Admission,[,],Departments,[,],Library System and publishing,[,],Organizations,[,],Professional opportunities and statistics,[,],Student politics",Politecnico di Milano
,Hochschule Wismar
"[,],General,[,],Departments,[,],R&D",Instituto Superior de Engenharia do Porto
"[,],Departments,[,],Research centers,[,],Student organizations",Technical University of Denmark
"[,],Faculties,[,],Campus,[,],Student facilities and services,[,],Funding,[,],Art faculties,[,],The Royal Conservatory,[,],Art library,[,]",Hogeschool Gent
,Category:Use dmy dates from January 2013
,Umeå Institute of Technology
"[,],Aarhus/Århus spelling,[,],Viking Age and before,[,],17th–18th centuries,[,],19th century,[,],Administrative divisions",Aarhus
,Linköping University
"[,],Erasmus University Charter,[,],Helsinki,[,],Vantaa,[,],Espoo,[,],Bachelor's Degree Programmes conducted in English,[,],Master's Degree Programmes conducted in English,[,],Bachelor's Degree Programmes conducted in Finnish,[,],Master's Degree Programmes conducted in Finnish",Helsinki Metropolia University of Applied Sciences
,Seinäjoki University of Applied Sciences
,Lahti University of Applied Sciences
,"Turku University of Applied Sciences,[,],Fields of education"
,Jönköping School of Engineering
,Category:Use British English from January 2013
"[,],[,],[,],[,],[,],[,],[,],[,],Faculty of Medicine,[,],Institute of Environment and Natural Resources","Vietnam National University, Ho Chi Minh City"
"[,],Mission,[,],Vision,[,],Goals,[,],Values,[,],[,],[,],[,],[,],[,],[,],[,],[,],[,],[,],[,],Sports",Singapore Polytechnic
,Chengdu University of Information Technology
,Taylor's University
"[,],Institution,[,],Background of Establishment,[,],Leaderships,[,],STU Campus Planning,[,],New Library,[,],Ju Ming’s Sculpture Series “Living World”,[,],The Great Hall,[,],Block A,[,],Academic Conference Center (ACC),[,],Sports Arena,[,],College of Liberal Arts,[,],College of Science,[,],College of Engineering,[,],Law School,[,],Business School,[,],Medical College,[,],Cheung Kong School of Journalism and Communication,[,],Cheung Kong School of Art and Design,[,],School of Continuing Education,[,],Veritas College,[,],English Language Center,[,],Affiliated Hospitals,[,],Credit System of International Standard,[,],English Enhancement Program,[,],EIP-CDIO Approach of Engineering Education,[,],Integrative Thinking,[,],International Accreditation for Undergraduate Programs,[,],Whole-person Education",Shantou University
"[,],Tsinghua College,[,],National Tsing Hua University,[,],Decades of specialization,[,],Revival of arts and humanities,[,],Present,[,],Library collections,[,],Tsinghua History Museum,[,],Department of Mathematical Sciences,[,],School of Economics and Management,[,],School of Journalism and Communication,[,],Graduate School at Shenzhen, Tsinghua University,[,],Research,[,],Rankings,[,],Student associations,[,],Zijing Apartments,[,],Nobel laureates,[,],Famous alumni,[,],Famous faculty,[,],Qinghua clique",Tsinghua University
,Chisholm Institute
,CDIO
"[,],""Entering China"" project",Beijing Jiaotong University
,Template talk:CDIO
"[,],Foundational years: 1889–1929,[,],Establishment and expansion years 1929–1982,[,],Transformation years: 1982 & beyond,[,],Governance,[,],Main Hatfield Campus,[,],Museums,[,],Key places,[,],Other campuses,[,],Library system,[,],Research,[,],Digital institutional repositories,[,],Reputation and ranking,[,],Residential life,[,],Student organisations,[,],Student activities,[,],Mascot,[,],Student media,[,],Civic service,[,],Rugby,[,],Football",University of Pretoria
,Template:CDIO
"[,],Master of engineering,[,],Master of Sciences",École nationale supérieure des télécommunications de Bretagne
"[,],Linguistically,[,],Geographically,[,],Government Office Regions,[,],Rugby,[,],Footnotes,[,],References",Northern England
,Template:N8 Group
,Editing Template:CDIO
,Template talk:1994 Group
,Template:1994 Group
,Editing Template:N8 Group
,Creating Template talk:N8 Group
"[,],Anguilla,[,],Bermuda,[,],British Virgin Islands,[,],Cayman Islands,[,],Montserrat,[,],Turks and Caicos Islands",List of universities in the United Kingdom
"[,],UCCA and PCAS,[,],UCAS data,[,],Exclusive applications via online process,[,],Medical courses,[,],Art and design courses,[,],Oxbridge,[,],Costs and personal data required,[,],Timetable for offers,[,],Type of offers,[,],Confirmation of places,[,],Personal statement,[,],Tariff,[,],Clearing,[,],Adjustment,[,],Extra applications",UCAS
,Category:Universities in the United Kingdom
"[,],First-class honours,[,],Upper second-class honours,[,],Lower second-class honours,[,],Third-class honours,[,],Ordinary degree,[,],Uncommon degree classifications",British undergraduate degree classification
,Editing Template:1994 Group
"[,],[,],[,],[,],[,],Accuracy and neutrality,[,],Full-time bias",Rankings of universities in the United Kingdom
"[,],Undergraduate and postgraduate master's degrees,[,],Doctoral degrees,[,],Anomalies,[,],Bachelor's degrees,[,],Foundation degrees,[,],Postgraduate degrees,[,],Master's degrees,[,],Junior (Professional) Doctorates,[,],Intermediate Doctorates,[,],Higher Doctorates",British degree abbreviations
,Colleges within universities in the United Kingdom
"[,],NUS extra,[,],NUS Charitable Services,[,],flirt!,[,],Financial crisis,[,],Durham censorship controversy,[,],Graduate tax/Tuition fees,[,],Fairtrade,[,],Governance review,[,],Video clips",National Union of Students (United Kingdom)
,List of universities in the United Kingdom by size of student population
,List of UK universities by endowment
"[,],University College London,[,],King's College London,[,],Durham University,[,],University of London,[,],Constituent institutions,[,],Predecessor institutions",Third oldest university in England debate
"[,],Red brick universities,[,],Second wave of civic universities,[,],1992 universities,[,],Second wave of new universities",List of UK universities by date of foundation
,Lambeth degree
"[,],Name changes,[,],Participating colleges and institutes of the University of London,[,],Independent teaching institutions,[,],Nobel laureates,[,],Others",University of London International Programmes
"[,],Aims,[,],Staff,[,],Academic divisions,[,],Teaching methods,[,],Assessment methods,[,],Qualifications,[,],Degree ceremonies,[,],Young undergraduates,[,],Courses,[,],Fees and financial assistance,[,],Qualifications awarded",Open University
,Saint James School of Medicine
"[,],Cincinnati, Ohio,[,],Montserrat,[,],Plainview, Texas,[,],Montserrat,[,],Belize and St. Maarten,[,],St. Maarten",American University of the Caribbean
,University College of the Cayman Islands
,International College of the Cayman Islands
"[,],School of Medicine,[,],School of Veterinary Medicine",St. Matthew's University
,Bermuda College
,Cayman Islands Law School
"[,],Faculty of Applied Design and Engineering,[,],Faculty of Art and Design,[,],Faculty of Humanities,[,],Faculty of Business and Management",Swansea Metropolitan University
"[,],History,[,],Campus,[,],Gallery,[,],History,[,],Campus,[,],Faculty of Arts and Social Studies,[,],Faculty of Education and Training,[,],Faculty of Humanities,[,],Faculty of Applied Design and Engineering,[,],Faculty of Art and Design,[,],Faculty of Humanities,[,],Faculty of Business and Management,[,],Entry Requirements,[,],Students' Union,[,],Sports,[,],Student Halls of Residence,[,],Car Parking","University of Wales, Trinity Saint David"
"[,],Anguilla,[,],Bermuda,[,],British Virgin Islands,[,],Cayman Islands,[,],Montserrat,[,],Turks and Caicos Islands",List of universities in the United Kingdom
,University of South Wales
,"University of Wales, Newport"
"[,],Campuses,[,],Ranking,[,],Students,[,],Accommodation,[,],Faculty",Glyndŵr University
,University of Glamorgan
,List of universities in Wales
"[,],Heads of state and government,[,],Politics,[,],Academia,[,],Business,[,],Sporting,[,],Arts and Journalism",Cardiff University
"[,],National Centre for Product Design & Development Research (PDR),[,],Cardiff School of Art & Design,[,],Cardiff School of Education,[,],Cardiff School of Health Sciences,[,],Cardiff School of Management,[,],Cardiff School of Sport,[,],Split from University of Wales,[,],Pressure to merge with other HE institutions,[,],Samsung Art & Design Institute (SADI),[,],London School of Commerce,[,],East Asia Institute of Management (EASB),[,],Arab Academy for Science and Technology,[,],Superior Institutions of Science and Technology,[,],International University College,[,],Westminster International College Malaysia,[,],International College of Business and Technology(ICBT),[,],Other recognition,[,],Sports teams","Cardiff Metropolitan University,National Indoor Athletics Centre"
"[,],Arts Building,[,],Halls of residence,[,],Former Refectory and Student Union Buildings,[,],Students' Union,[,],Volunteering,[,],Athletic Union Clubs and the Societies Department,[,],Music,[,],Football,[,],Rowing,[,],Student radio,[,],Presidents,[,],Vice Chancellors (earlier Principals),[,],Honorary Fellows,[,],Notable academics,[,],Notable alumni,[,],Fictional alumni,[,],Alumni groups",Bangor University
"[,],Paisley Campus,[,],Ayr Campus,[,],Dumfries Campus,[,],Hamilton Campus,[,],Glasgow Creative Enterprise Cluster",University of the West of Scotland
,University of Strathclyde
"[,],Name Change,[,],School of Music,[,],School of Drama and Dance,[,],Junior Conservatoire",Royal Conservatoire of Scotland
"[,],Sport facilities,[,],The Highland and Western Isles campuses,[,],Teaching,[,],Research,[,],University Court,[,],Academic Council,[,],Committees and Executive Officers,[,],League table rankings,[,],Academics,[,],Alumni",University of Stirling
"[,],School of Arts of Edinburgh,[,],Watt Institution and School of Arts,[,],Heriot-Watt College,[,],Heriot-Watt University,[,],Students' Association,[,],Sports Union,[,],Edinburgh,[,],Scottish Borders,[,],Dubai,[,],Malaysia,[,],Orkney,[,],Businesspeople,[,],Politicians,[,],Sportspeople,[,],Writers,[,],Others",Heriot-Watt University
"[,],School of Arts and Social Sciences,[,],School of Health Sciences,[,],Former campuses,[,],Musselburgh campus,[,],Asia Campus",Queen Margaret University
"[,],Founding Institutions,[,],Child and adult education combined: Robert Gordon’s College (1881),[,],Splitting child from adult: Robert Gordon’s Technical College (1910 on),[,],Technical College to Institute (1965) to University (1992),[,],The Robert Gordon University (1992 to present),[,],Graduate Employment,[,],Coat of Arms,[,],Motto,[,],Ceremonial Mace,[,],Tartan,[,],Academic Dress,[,],Garthdee,[,],City Centre,[,],Academic Faculties,[,],Terms and Semesters,[,],Governance and Leadership,[,],Research,[,],Rankings,[,],Student Union,[,],Accommodation,[,],Sports,[,],Alumni,[,],Donald Trump controversy",Robert Gordon University
,Edinburgh Napier University
"[,],School of Computing and Engineering Systems,[,],Institute of Arts, Media and Computer Games,[,],School of Contemporary Sciences,[,],Dundee Business School,[,],School of Social and Health Sciences",University of Abertay Dundee
"[,],The Queen's College, Glasgow,[,],Glasgow Polytechnic,[,],Staff,[,],Alumni",Glasgow Caledonian University
,List of universities in Scotland
"[,],King's and Marischal Colleges,[,],The University of Aberdeen's creation,[,],The modern university,[,],Coat of Arms,[,],Motto,[,],Tartan,[,],Academic Dress,[,],King's College,[,],Marischal College,[,],Others,[,],Student representation,[,],Organisations,[,],University accommodation,[,],Sports,[,],Chancellor,[,],Lord Rector,[,],Principal and vice-chancellor,[,],Nobel Prize winners",University of Aberdeen
"[,],Coleraine,[,],Jordanstown,[,],Magee,[,],Belfast,[,],Ballyronan, ,[,],Campus One,[,],Vice-Chancellors",University of Ulster
"[,],Parliamentary representation,[,],Faculties and schools,[,],Institutes,[,],Reputation,[,],Admissions and students,[,],Students' Union,[,],Housing,[,],Cultural life,[,],Sport",Queen's University Belfast
,List of universities in Northern Ireland
"[,],Faculty of Arts,[,],Faculty of Business, Law and Sport,[,],Faculty of Education, Health and Social Care,[,],Faculty of Humanities and Social Sciences,[,],University's motto,[,],King Alfred Campus,[,],Student union,[,],Halls of residence,[,],Academic staff,[,],Alumni",University of Winchester
"[,],Frenchay campus,[,],Bower Ashton campus,[,],Glenside campus,[,],St Matthias campus,[,],UWE Stadium,[,],Coat of arms,[,],Structure,[,],League tables,[,],Bristol Robotics Laboratory,[,],National College for Legal Training,[,],Students' Union,[,],UWE facilities,[,],Student accommodation",University of the West of England
"[,],Halls of residence,[,],Rankings,[,],Solent Students' Union,[,],Student media,[,],Sport",Southampton Solent University
"[,],Research,[,],Awards,[,],Rankings,[,],Academics,[,],Alumni,[,],Global Partners",University of Surrey
"[,],Langstone Campus,[,],University Quarter,[,],Portsmouth Business School,[,],Faculty of Engineering & Technology,[,],Faculty of Science,[,],Faculty of Humanities and Social Sciences,[,],Faculty of Creative and Cultural Industries,[,],Alternative medicine courses,[,],Reputation and rankings,[,],Students' Union,[,],University officers,[,],Notable alumni",University of Portsmouth
"[,],Farms",Royal Agricultural College
"[,],Science & Technology Centre,[,],Reading Enterprise Hub,[,],Dedicated buildings,[,],Faculty of Arts, Humanities and Social Science,[,],Faculty of Life Sciences,[,],Faculty of Science,[,],Henley Business School,[,],Governing bodies and roles,[,],Officers of the University,[,],Finance",University of Reading
"[,],Redevelopment,[,],Specialist study,[,],Automotive engineering,[,],The Functional Food Centre at Oxford Brookes University",Oxford Brookes University
"[,],Falmouth School of Art,[,],Reorganisation of art education in Cornwall,[,],Falmouth College of Arts,[,],University College Falmouth,[,],University College Falmouth incorporating Dartington College of Arts,[,],Falmouth University,[,],Falmouth Campus,[,],Penryn Campus,[,],Dartington Campus,[,],Henry Scott Tuke House,[,],Wellington Terrace Annex,[,],Arwenack Annex",Falmouth University
"[,],Origins,[,],1965 to 2000,[,],2000 to present,[,],Name,[,],Canterbury campus,[,],Medway campus,[,],Tonbridge campus,[,],Faculties, departments and schools,[,],Colleges,[,],Finances,[,],Coat of arms and logo,[,],Research,[,],Rankings,[,],Library,[,],Franco-British programme,[,],Students' Union,[,],Chaplaincy,[,],Student housing",University of Kent
,University for the Creative Arts
"[,],Main website,[,],Direction and campus maps,[,],Other external links",Cranfield University
"[,],Founding,[,],Expansion,[,],The 1960s,[,],The 1970s and the 1980s,[,],The 1990s,[,],Developments,[,],Recent buildings,[,],Rankings",University of Essex
,University of Chichester
"[,],Halls of Residence",Buckinghamshire New University
"[,],General overall ranking,[,],Department rankings,[,],Global ranking",University of Buckingham
"[,],Talbot Campus,[,],Lansdowne Campus,[,],Halls of residence,[,],Rankings,[,],Notable alumni,[,],Video clips",Bournemouth University
"[,],Grand Parade, Brighton,[,],Falmer, Brighton,[,],Moulsecoomb, Brighton,[,],Eastbourne,[,],Hastings,[,],Brighton Business School,[,],Faculty of Arts,[,],Faculty of Education and Sport,[,],Faculty of Health and Social Sciences,[,],Faculty of Science and Engineering,[,],Brighton and Sussex Medical School,[,],Faculty of Arts,[,],Faculty of Health and Social Science,[,],Brighton Business School,[,],Faculty of Science and Engineering,[,],Faculty of Education and Sport,[,],Brighton and Sussex Medical School,[,],University of Brighton's International College,[,],University of Brighton Doctoral College,[,],Hybrid Vehicle Experimentation Laboratory,[,],The Sir Harry Ricardo Laboratories,[,],Research Performance,[,],Achievements and rankings",University of Brighton
"[,],Main campus,[,],Campus developments,[,],The University of Bath in Swindon,[,],Swindon,[,],Rankings,[,],Sports and TeamBath",University of Bath
"[,],Newton Park,[,],Corsham Court, Corsham,[,],Sion Hill, Bath,[,],Culverhay, Bath,[,],Dartmouth Avenue, Bath,[,],Burdall's Yard, Bath,[,],Ashman's Yard, Bath,[,],Transport,[,],Plans,[,],Schools of Study,[,],Partnership and Collaboration,[,],Rugby,[,],Academic staff,[,],Alumni",Bath Spa University
"[,],Teaching quality,[,],Awards,[,],Rankings,[,],Luton Campus,[,],Putteridge Bury, Luton,[,],Bedford Campus,[,],Butterfield Park,[,],Buckinghamshire campus",University of Bedfordshire
"[,],Bournemouth Screen Academy,[,],Bournemouth Skillset Media Academy,[,],Preparation for Higher Education courses,[,],Honours Degree courses (BA (Hons)),[,],Postgraduate courses (MA),[,],Other",Arts University Bournemouth
"[,],Courses,[,],Research ranking,[,],Graduate employment rate,[,],Research,[,],Average student debt on graduation,[,],Reducing antisocial behaviour amongst students,[,],Sports,[,],Societies,[,],Union Council",York St John University
,University College Plymouth St Mark & St John
"[,],Accommodation,[,],Schools,[,],Research Institutes,[,],Principals of Constantine Technical College,[,],Directors of Teesside Polytechnic,[,],Chancellors of Teesside University,[,],Notable staff,[,],Notable alumni",Teesside University
"[,],Newcastle Polytechnic,[,],University status",Northumbria University
"[,],London 'Canary Wharf' Campus,[,],Halls of residence,[,],Subsidiaries,[,],Sport and Physical Activity,[,],SportsByte,[,],107 Spark FM",University of Sunderland
"[,],City Campus,[,],Headingley Campus,[,],Leeds Met India,[,],Sporting,[,],Cultural,[,],Rubbing Shoulders,[,],QAA Report,[,],Resignation of Simon Lee,[,],List of Chancellors,[,],List of Vice-Chancellors,[,],Notable alumni ",Leeds Metropolitan University
"[,],Early history and founding,[,],1980s and 1990s,[,],21st century,[,],Shield,[,],Crest,[,],Supporters,[,],Accommodation,[,],Students' Union,[,],Computing, Informatics and Media,[,],Engineering, Design and Technology,[,],Health Studies,[,],Life Sciences,[,],Management,[,],Social and International Studies,[,],Video clips",University of Bradford
,University College Birmingham
"[,],Initial establishment,[,],Polytechnic and gaining University status,[,],Expansion years,[,],Millennium to the present day,[,],City Campus,[,],Burton Campus,[,],Telford Campus,[,],Walsall Campus,[,],Sustainability initiatives,[,],Coat of arms,[,],Governance,[,],Schools,[,],Research,[,],Students' Union,[,],Student accommodation,[,],Volunteering,[,],Links with business and industry,[,],Notable alumni,[,],Notable academics",University of Wolverhampton
"[,],Stoke-On-Trent,[,],Stafford,[,],Lichfield,[,],Shrewsbury, Telford and Oswestry,[,],Overseas,[,],Regenerating Stoke-on-Trent,[,],Halls of Residence,[,],League table rankings,[,],Burslem School of Art,[,],Fenton School of Art,[,],Stoke School of Art",Staffordshire University
,Leeds Trinity University
"[,],Admissions,[,],Reputation and Rankings,[,],Business links,[,],Social enterprise,[,],Students' Union,[,],Sports,[,],Societies,[,],Alumni,[,],Lecturers",University of Northampton
"[,],Estate regeneration,[,],College of Business, Law and Social Sciences,[,],College of Art & Design and Built Environment,[,],College of Arts and Science,[,],Chancellors,[,],Vice-Chancellors,[,],Chairman of the Board of Governors,[,],Developments,[,],Database,[,],Sustainability,[,],Campus Biodiversity,[,],Alumni",Nottingham Trent University
,"Newman University, Birmingham"
"[,],St John's Campus,[,],City Campus,[,],Grove Farm,[,],Riverside and Worcester Arena,[,],Worcester Library & History Centre,[,],Other locations,[,],Funding,[,],Reputation and rankings,[,],Sports activities",University of Worcester
"[,],Origins,[,],The Loughborough colleges,[,],The influence of Herbert Schofield,[,],From college to university,[,],Later history,[,],Reputation,[,],Traditions,[,],Students' Union,[,],Student halls,[,],The Epinal,[,],Library,[,],Deans,[,],Chancellors,[,],Principals,[,],Vice Chancellors",Loughborough University
"[,],Teaching,[,],Science,[,],Arts, humanities and social sciences,[,],Student Support and Development Service,[,],2010-2011,[,],2009-2010,[,],2008-2009,[,],Media Groups,[,],Chancellors,[,],Notable academics,[,],Notable alumni,[,],The Attenboroughs,[,],Video clips",University of Leicester
"[,],Development,[,],1990s,[,],21st century,[,],Student accommodation,[,],Catering,[,],Sports Centre,[,],Library,[,],Riseholme Park,[,],The Engine Shed,[,],Lincoln Performing Arts Centre,[,],The International Study Centre,[,],Engineering Hub,[,],Plans,[,],Staff,[,],Chancellor and vice-chancellor,[,],Reputation & Rankings,[,],Cultural references,[,],University of Lincoln Students' Union,[,],Alumni,[,],Video clips",University of Lincoln
,Harper Adams University
"[,],Early years,[,],Kedleston Road,[,],Merger with Mickleover Education College,[,],Transformation to university,[,],University of Derby Buxton,[,],Faculty of Business, Computing and Law,[,],Faculty of Arts, Design and Technology,[,],Faculty of Education, Health and Sciences,[,],International Centre for Guidance Studies (iCeGS),[,],Biological Sciences Research Group,[,],Centre for Psychological Research in Human Behaviour,[,],Community Regeneration Research Centre,[,],Culture, Landscape and Lifestyle Research Group,[,],Health, Nursing and Therapeutic Research Group,[,],Research Centre for Advanced Innovation & Management,[,],Research Centre for Education and Professional Practice,[,],Signal Processing Applications Research Group,[,],The Open Studio,[,],Student residences",University of Derby
"[,],Early years,[,],Early 20th century,[,],Modern era,[,],University Park,[,],Commonwealth campuses,[,],Special-mission campuses,[,],Colleges,[,],Board of Trustees,[,],Administration,[,],Student Government,[,],Demographics,[,],Rankings,[,],Research,[,],Housing,[,],Student organizations,[,],Student media,[,],Other,[,],Faculty,[,],Alumni",Pennsylvania State University
"[,],Student accommodation",Bishop Grosseteste University
"[,],Building names,[,],Logo,[,],Rankings,[,],Video clips",Coventry University
"[,],Origins,[,],Expansion and contraction,[,],Present day,[,],The Faculty of Art, Design and Humanities,[,],The Faculty of Business and Law,[,],The Faculty of Health and Life Sciences,[,],The Faculty of Technology,[,],The Institute of Creative Technologies (IOCT),[,],Governance,[,],Campus Centre,[,],The Kimberlin Library,[,],The Eric Wood Learning Zone,[,],The Greenhouse,[,],The Law Library,[,],Academia,[,],Architecture,[,],Business,[,],Fashion,[,],Health & Medicine,[,],The Arts,[,],Journalism and television,[,],Law & Order,[,],Modelling,[,],Politics & Government,[,],Sport",De Montfort University
"[,],Birmingham Polytechnic,[,],University status,[,],Renaming,[,],Facilities,[,],Accommodation,[,],Faculties and schools,[,],Libraries and collections,[,],Partner institutions,[,],Research,[,],Reputation,[,],Rankings",Birmingham City University
"[,],Faculties and departments,[,],Coat of arms,[,],Academic Dress,[,],Research,[,],Rankings,[,],Aston Business School,[,],Students' Union,[,],Student housing,[,],Aston University Engineering Academy,[,],Aston Science Park,[,],List of Chancellors,[,],List of Vice-Chancellors,[,],Alumni",Aston University
"[,],Academic Rankings,[,],Teaching Standards,[,],Reputation Improvement,[,],West London Students' Union,[,],Student accommodation",University of West London
"[,],1838 to 1881,[,],1881 to 1992,[,],1992 to present,[,],Schools,[,],Finances,[,],Coat of arms,[,],Students' Union,[,],Student and university media,[,],Sport,[,],Student housing,[,],Notable faculty and staff,[,],Notable alumni",University of Westminster
"[,],Sports,[,],Library,[,],Accommodation",University of Roehampton
"[,],Background,[,],Early years,[,],Later history",Royal College of Music
