category,body,about,tags,headline,author,metatext
In the Hood," ,This Thursday night on March 7th, , will be hosting a , celebrating the release of the first issue of ,, a new Brooklyn-based artmag by visual artists Emma Rae and Emma Harden. The magazine seeks to promote the work of young, unknown artists and thinkers; the Emmas ran a successful , campaign this fall to cover the initial costs of production and the designs for the magazine proposed on that site are elegant and minimal, allowing the featured art to speak for itself. Come by the party to pick up your copy, meet the editors and some of the contributors, jam to music by DJ NBA2K, check out the current installation at Signal of work by , and, of course, drink some cheap beer., Launch Party: Thursday, March 7th, 7pm-Midnight (no cover) @ Signal, 260 Johnson Avenue between Bushwick Avenue and Evergreen st; Montrose stop on the L.","An NYC and Hudson Valley Native, Emilie Ruscoe covers politics, arts and culture in Brooklyn, NY.","emma magazine,signal gallery,Thursday","
									Party Thursday: Emma Magazine Launch at Signal Gallery							",Emilie Ruscoe,"					
					, | 3.05.13 | , 
				"
People,"Our contributing photographer , has been pretty busy as his photography book project about Bushwick people continues. His goal is to document artists and residents of Bushwick in this particular moment “before it becomes Williamsburg,” Peter says not entirely optimistically. Nevertheless, his photographs look amazing and we are happy to feature another 12 portraits from the series. (,).,Peter Dressel has been working on his Bushwick project since 2009., , , , , , ","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","bushwick artists,bushwick residents,Peter Dressel,photography","
									12 Bushwick Portraits from an Ongoing Photography Project of Peter Dressel							",Katarina Hybenova,"					
					, | 3.04.13 | , 
				"
"Arts and Culture,Editor's Pick,Featured","Teleport…. air jet pack…. or at least a very fast bike will be needed this Saturday because there is 30+ art spaces in Bushwick and Ridgewood participating in this year’s ,!,It’s nice to keep the Armory Week local and take the opportunity to catch up on the burgeoning Bushwick/Ridgewood art scene. A lot has changed since , noticed “quite a few” galleries popping up in Bushwick last year. If the gallery scene in the area was booming last year, this year it is virtually exploding. Many of the 50+ galleries in the area are hard to locate or don’t have regular gallery hours but this Saturday aims to change that and bring the public closer to what has been boiling in Bushwick.,“[Stephanie Theodore and I] want to put our best foot forward to showcase Bushwick/Ridgewood and their many art treasures,” Deborah Brown from , told us. She co-created the event together with Stephanie Theodore from , who came up with the idea. “The enthusiasm from the galleries has been terrific. We are all working together to get the word out and make the event a huge success,” she continued. Deborah also said that all the galleries were invited to participate and they additionally reached out to neighborhood bars and cafes to offer a drink special to gallery-going guests. Just say secret password “Bushwick Galleries Late Night” at Tutu’s, Mama Joys, Miles, Alaska, Brooklyn Fireproof Cafe, Bodega Wine Bar, Cafe Ghia and Dear Bushwick for a drink special!,You can , and ,.","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","bushwick/ridgewood armory night,galleries,gallery walk","
									Bushwick/Ridgewood Armory Night Features 30+ Art Spaces this Saturday							",Katarina Hybenova,"					
					, | 3.04.13 | , 
				"
In the Hood,"As ,, DIY venue , (on Broadway) closed at the end of February after three turbulent years of shows, parties and legal battles. Co-founder Jonny Aquadora tells Bushwick Daily the landlord “pulled the plug” on the space shortly after it was approved for a long-awaited liquor license, and that they are not currently planning to relocate the enterprise. “There were so many unforgettable magic moments that happened at XPO 929,” says Aquadora. “I hope that the community can learn from our tenacity and our mistakes and continue to create space for musical magic to thrive in Bushwick.” For more background on XPO, check out Bullet Media’s , from last summer. No word yet about what might take XPO’s place; let’s hope it’s not ","An NYC and Hudson Valley Native, Emilie Ruscoe covers politics, arts and culture in Brooklyn, NY.","Bushwick,DIY music venues,Jonny Aquadora,xpo 929","
									XPO 929 is Closed for Good							",Emilie Ruscoe,"					
					, | 3.04.13 | , 
				"
Arts and Culture,"Occasionally, attending a Bushwick gallery opening can feel like stumbling into a hidden garden of rare and enchanting foliage amongst a barren and lonely landscape. That’s the experience , tends to provide, given their location of a studio on the third floor inside an unmarked factory building on Stewart Avenue. TSA opened their doors in Bushwick in November, but the members (all artists as well) have been curating exhibitions in their Philadelphia location, Tiger Strikes Asteroid, since 2009., opened on February 22, and was actually too crowded to walk in at times! Upon a second visit during open hours, I was given the privilege of spending ample time with each piece. According to the press release, this group show ”brings together a group of emerging and established contemporary visual artists whose practices examine the realms of science fiction, mythology, alternative histories and other forms of creative speculation.” One piece by each artist, all modestly spaced and mostly medium-sized, allows room for said creative speculation, and each work takes a vastly different approach in both medium and content to evoke the themes that tie together the exhibition.,Sean McCarthy’s incredibly detailed ink and graphite drawing on paper depicts an entirely unknown and mysterious creature. The delicacy of the marks invite the viewer to stand intimately close to the piece, as well as its lack of color and thus domesticity, despite the nightmarish animal that fills the entire page.,On the opposing wall, Rachel Frank’s sculpture, consisted of a stretched Holstein cowhide, glass beads, thread, wood, and cloth, complements the primitive McCarthy drawing. It too has a sense of domesticity given the glass beads and beautiful fur, but it is also abrasive and may be slightly repulsive to some.,Christopher Ulivo (a co-organizer of the exhibition) presents a small egg tempera painting of some fictional (perhaps?) scene involving struggle and triumph. This piece seems to be the only obvious narrative work in the show, and it’s one that makes the viewer really question the story and moment being painted. There may well be a specific reference driving the work, possibly relating to the title, but the mystery of the subject and execution of the painting is enough for me to contemplate.,Jackie Hoving’s work on paper relates to the overall themes present in the show, most directly in the primitivism evoked by earth tones and the rough texture of the materials.,Not all of the works in the show are included here, in an effort to induce a level of curiosity similar to the one you will receive once spending time with each piece. Works not pictured here are by David Humphrey, Andrew Prayzner (co-organizer), and Amanda Lechner (co-organizer). Dustin Dennis was also behind the organization and curation of the show.,is on view through March 31, 2013. TSA is located at 44 Stewart Avenue, #49. Open hours are Saturday – Sunday from 1-6pm and by appointment., , , , ","Artist, gallerist, and bike enthusiast.","art,art reviews,Bushwick,in search of...,Sean McCarthy,Tiger Strikes Asteroid,TSA New York","
									In Search Of… Elegantly Mystical Work at TSA							",Jen Hitchings,"					
					, | 3.04.13 | , 
				"
"Featured,Music","Before you get tripped up on the rumble of consonants above, get in the know: , stands for ,, America’s most diverse and innovative multimedia festival. Endearingly called “South By” by fans and veterans, the festival brings great minds and talent together in Austin, Texas for over a week of entertainment, learning and discussion in the realms of music, technology and film. The official festival events require a pricey badge (upwards of $1000), so you may be wondering how some of your party animal friends can afford top travel and lodging costs. Well, this is how you do it right.,Well, in case you didn’t know, you can go and enjoy the music portion of SXSW like a badge holder for free. No, we’re not exaggerating. You can see all of your favorite indie bands, all whilst drinking and eating as a guest of Austin ,. Read on for the inside scoop, and our recommendations for this year’s music portion of SXSW, March 13-16, 2013…,The festival, which is in its 27th year, attracts over 30,000 official badge holders to Austin. Unofficially, there’s likely an additional 15-20,000 band members and fans who flock to SXSW to experience the biggest indie music event in the US. For musicians, performing at SXSW is about getting as much exposure as humanly possible. It’s the one time per year that bands are willing (and able) to play several shows a day, for 4+ days in a row. That means that if a band is doing SXSW right, and they manage to score an official show (rare for most of today’s under the radar indie bands) they’ll also be playing a lot of unofficial shows.,But how do all of these “unofficial” showcases come about? Besides house/bookstore parties (which are so unique to SXSW and totally worth checking out), everyone wants to get their name associated with the cool stuff going down during the fest. That means sponsors in all shapes and sizes – food, drink, publication, blog, clothing – are glad to fund parties to get in the mix with all the cool kids. SXSW is basically a corporate playground, with massive sponsors willing to foot the bill to be associated with some of the best parties this side of Tennessee.,To give you an idea of who’s behind this free madness, some of the biggest unofficial parties of SXSW 2013 have food/drink sponsors like ,, Zico, ,, ,,  ,, ,, and at least 100 more. Clothing brands such as Vans, Dickies, ,, and , have hopped aboard. Music sites, publications and blogs like , (who’s currently collabing on the most shows this year), ,, Spin, ,, ,, ,, Portals, Gorilla vs. Bear, Yourstru.ly, ,, ,, and , are the curators of these showcases. And this is only skimming the surface. Other types of sponsors, like ,, ,, ,, are providing some bucks to get involved, too. So basically, if you’re willing to trade your consumer attendance to go on a rollercoaster ride fueled by free drink, food, and amazing music that’s completely dictated by which sponsors spat where, you’re ready for SXSW.,Want to go to SXSW and experience all of this nonstop craziness for 4 days straight? Did we mention it’s really warm and sunny and amazing, plus Austin is an incredible city for food, shopping and – let’s not forget - MUSIC? It’s hard to know exactly where to start – it all seems too good to be true. Logistically, the first thing you’ll have to do is get organized with your travel options while in Texas. Flying down is the best option, unless you can take more than a week off of work and feel like road tripping with a friend’s band. Flights run between , to Austin from NYC during SXSW and, as expected, are cheaper the earlier you buy them. San Antonio is nearby and flights can run significantly , if you can get a ride or take the bus. Once you’re down there you’ll need somewhere to stay. If you’re lucky, you have a Best Friend in Austin (shout out to Morgane!), or a friend of a friend whose floor you can crash on, or a van that’s not too stiff. If none of those are an option, you can get a hotel, although , or , will offer a much more authentic Austin experience, though the affordable options get picked over early on., ,Sounds expensive so far, but once you get over that hump, you will spend very little money once you’re down there; there is free food and drink galore. Transportation can be a bitch, so get some comfortable cowboy boots because you are going to be huffing it, A LOT. Venues are spread all over downtown, the East Side, South of the city, and closer to the University of Texas. The buses are a great option too, and if you’re feeling responsible enough to bike drunk, you can rent a bike.,Now that you’ve got it all figured out logistically (hopefully a month or more ahead of time), you have to sit tight and wait patiently for the parties to roll in. ,. Even now, a week and a half before the festival, I am hearing about and RSVPing to more parties than ever. Once they do, you’ll have to dedicate a chunk of hours to what I like to call “stalking SXSW,” or RSVPing for every single thing you see popping up on the internet that’s free. , that you really want to go to – these will be hard to get into and will require a lot of patience waiting in line, so get there early. Then there are the parties that feature less popular bands and you could care less about a random line-up from Scotland, or whatever this “,” promises. These are the best parties to hit up in the meantime, to fill up on food and drink, expand your musical horizons, and maybe even enjoy what you hear. Then you head to your next spot. There are showcases happening literally everywhere. You may find yourself stopping by 10+ shows a day so please pace yourself. Or you might end up tired like these guys.,As far as finding out which shows/parties to attend, there are a million resources on the web for you to peruse. Here are some of our favorites, and recommendations from ,:,It’s also easy and informative to follow a few specific twitter handles who churn out the parties as they get them. They feature some smaller or more under the radar parties that are really worth the click. Although be careful – some parties listed are during Interactive and may be before you arrive. Some of our recommendations:,Eventually, once you RSVP to enough things, you’ll have an excellent spreadsheet that looks like this so your friends can keep in the loop and you’ll all be able to get into the same parties.,So that’s SXSW, done unofficially, in a nutshell. Seem like a lot of work? Not worth all the hype? Don’t want to spend hours fretting, RSVPing, and then dealing with tedious lines, crowds, and drunk masses once you’re down there? You just might not love the music festival scene enough. It takes a lot out of you and may be the hardest you’ll ever party, but there is truly no better place for a music lover. We’ll see you there and keep your eyes out for our BK in Austin article coming next week., , ",strict rule breaker. photographer. music obsessee. brooklynite.,"2012,2013,austin texas,filter,music,parties,SXSW,sxsw 2011,sxsw 2012,taco bell,unofficial","
									Why SXSW Is Awesome & How to Do It Right							",Maria Gotay,"					
					, | 3.04.13 | , 
				"
In the Hood,"Oftentimes, we call in a smokescreen cornucopia of occurrences because we have not yet gotten “right,” as I call it, with what we desire. If you have layers of shame, fear and judgment around what you really want to do with your life and who you really want to be, you are going to have a difficult time calling it in clearly, and you will have an even more difficult time receiving it. Getting right with your desires is the second key ingredient in the ritual to receive because you cannot invite and accept something if you are not clear about what exactly you want.,This is a task to get clear about what you want. What will it do for you? How will it make you FEEL? Who are you and what will you know about yourself when you receive this thing you desire? When you have shame about your desires, you literally push what you want away from you. Even if you really do WANT it, when you are not “right,” or in alignment with what you desire, you cannot and will not receive it.,To get right with your desires, sort through and resolve the resistance you have to getting what you want. If you don’t want to deal with the responsibility, the added things to manage, the vulnerability, the judgment, the unpredictability, the…list goes on and on…from an energetic perspective you are then literally telling the universe that you are not ready to receive it, and you will not get it.,Get right with your desires now or they will always and forever be future tense. They will never, ever become embodied commitments in the present moment. The nature of desire is yearning and reaching for something in front of you. The nature of having is to envelop, take in and accept. Whatever you have not accepted about what you desire is the exact reason that it is still a desire and not something you actually have right now. Each moment is a choice and that choice is yours. I’d love to know what stands between you and your desires this week. Tune in next week for the next key ingredient in this ,.","Emily Tepper is Ritual Designer & Owner, Bushwick Pilates.","Bushwick Pilates,Emily Tepper,ritual to receive,rituals,the ritualist","
									The Ritualist: A Ritual to Receive: Get “Right” with Your Desires							",Emily Tepper,"					
					, | 3.01.13 | , 
				"
Editor's Pick,": ,: ,: ,: ",,"Bushwick,bushwick weekend,editor's picks","
									Bushwick Weekend Guide (3/1-3/3)							",admin,"					
					, | 3.01.13 | , 
				"
"Featured,Food and Drink","Now that we’re a bit deeper into Bushwick, it takes a little more work (and a little more walking) to reach great bars. But at the rate Bushwick has been developing (ahem, gentrifying), who knows if this will still be true in a year? For now, here are three bars to visit near the 8th L stop in Brooklyn, Dekalb.,Taking their name from the original 17, century Dutch translation of Bushwick, this new-ish bar from the owners of , takes its name to heart, with a rustic vibe played up by a décor of taxidermy, potted flora, and lots of, well, heavy wood trimmings. Along with a wide selection of whiskeys, tequilas and mescals, fourteen craft beers are on tap ($5), all of which can be enjoyed with Tchoup Shop’s amazing New Orleans style BBQ and bar snacks, like their “awesome” deviled eggs ($3) or crab-okra hush puppies ($8). While it’s not the first (nor the last) Bushwick bar with a forest-inspired name, it may be the only one to exist as a coffee shop by day and a dim bar by night, effectively providing Bushwickers with two of their favorite vices – strong coffee and even stronger whiskey., Try their “Soup of the Day”, a $5 PBR + whiskey shot.,This comfortable neighborhood bar and restaurant is a Bushwicker’s alternative to the too-hip dives and upscale cocktail joints popping up all over the place. Ali, the owner and jack-of-all-trades (bartender, cook, janitor) is a long-time denizen of the area, endearing himself both to tried-and-true locals and the influx of young starvin’ artists populating the area. Along with cheap, strong drinks, he serves a menu of his native Lebanese cuisine and there’s free wi-fi. The bar food is unpretentious, the drinks are cheap, and every Wednesday, it’s free pasta night from 8-9pm. In fact, the only way you might know you’re still in Bushwick is that Two80 also offers a $5 beer + shot special. And where else can you get a $2 can of PBR while snacking on homemade hummus?, Try one of Ali’s famous mojitos ($5), made with mint he grew himself,An ode to both superheroes and friendly dive bars, this cozy (i.e. small) haven for comic book nerds is recognizable by the giant mural of Batman outside. Like any good superhero, this bar has a secret identity that’s only revealed once you’ve been buzzed through the entrance. Inside, you’ll discover Wonder Woman, Underdog and Captain America, all staring down from posters and figurines lining the walls. Another secret? The cheap prices, with $3 PBR-and–whiskey combos, $4 Brooklyn Lagers, and mixed drinks named after your favorite superheroes for under $8. The crowd is a mix of twentysomethings trying to make it and fortysomething X-Men junkies who on Saturday nights can all be seen playing pool, arcade games, and Guitar Hero., Get in the hero-spirit with the Green Lantern (Zubrowka, apple schnapps, Sprite) or Wonder Woman (Citron vodka, blueberry vodka, OJ, and pomegranate), both at $8","Writer, editor and sometime photographer. She can usually be found dancing unironically in an oversized sweater or waxing poetically on the perfection of Dolly Parton's ""Jolene"".","bars,Bushwick,dekalb,drink & ride,gothami city lounge,Heavy Woods,L train,two80 cafe and lounge","
									Drink & Ride: 3 Bars by the Dekalb L Train Stop							",Arielle Sachar,"					
					, | 3.01.13 | , 
				"
Food and Drink, ,"Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","booze,Bushwick,Henry Glucroft,Henry's Wine and Spirit,liquor","
									Henry’s Wine Shop Offers Plenitude of $10-15 Wines							",Katarina Hybenova,"					
					, | 2.28.13 | , 
				"
Editor's Pick,"Overcome the February/March gloominess with some dance endorphins in your system! Here are five fantasy and body-stimulating parties in Bushwick and beyond that you need to check out!,Because Bushwick is a land of dreamers, parties like this one happen here… The invite reads, “imagine you’re in a warehouse decorated to the finest detail in abstract art. Bodies dancing around you draped in the most beautiful and creative body paint designs witnessed by the naked eye. Music that raises the hairs all over your body, leaving them dancing wildly to the sounds of electrifying dancing music. Your senses lost in a trance, kidnapped by the beauty of art, forever enticed by the pounding drums, and feet. You’re in a new world.” Do we need to add more?, ,Video art, live performances, DJs, GENTLE JOUSTING “the sequel to sister project LICKER LICENSE, is a touring 1-hour video program of male artists exploring the pleasures and devices of masculinity, machismo and sex/iness.”, ,Because there is always an excellent dance party at Bossa Nova, but even better tonight! TurnTable Labs will present DJs Prince Klassen, Dope Shoes, and their guests.,Oh Greenpointers, how we do love your blog and your events. On Friday, the neighborhood of Greenpoint will dance the night away with Supercrush DJs at Warsaw., ,Drag is booming in North Brooklyn! So many amazing events and beautiful drag queens and kings! Naturally, the time to proclaim the most beautiful of them all has come. And so Merry Cherrie and her entourage decided to organize an 8-week long competition. Read when/where to see the performances and how to apply to compete., ","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","abstract,body painting,Bossa Nova Civic Club,drag,Genesis Breyer P-Orridge,gentle jousting,greenpointers,parties,Secret Project Robot,turntable,warehouse","
									Five Best Parties to Make You Dance in a Trance							",Katarina Hybenova,"					
					, | 2.28.13 | , 
				"
"Arts and Culture,Editor's Pick","“What is it about Bushwick?” I keep hearing this question from out-of-towners. I tell them, “Well, mostly it is the incredibly uninhibited, authentic culture and community.” “Well, is it worth the train ride?” they usually ask. The answer has to be: “It is worth a lifetime, not just a train ride!” Here are five art shows you’ll want to check out this weekend., is one of the most distinctive, if not the most distinctive, sculptors in the neighborhood. Ben has developed his very own, very different approach and has been comfortably exploring it for a couple of years now. Ben is a master of contradiction – he creates urethane foam sculptures which look like neon toxic candy puke, embodying the uncontrollable inner lust for something that is in fact really bad for you. His solo show at , is a ray of sunshine in this seemingly neverending gloomy time of the year. This is an absolute must-attend, friends.,Already mentioned at Bushwick Daily ,, Art Hack Day is an annual art hacking party at 319 Scholes, and one of the best annual events in the neighborhood. If you like art and technology, it is an absolute must-attend. 60 “hackers whose medium is art and artists whose medium is tech” will be creating projects throughout the entire weekend. The public is invited to party and check out the results on Saturday at 7PM., is an interesting DIY apartment art + party space. The collective has already earned a reputation of a crazy party venue; now it’s placing more attention on their art. Tonight they are featuring their first one-artist exhibition featuring new paintings of Lautaro. A crazy dance party with DJs will follow, naturally.,I have been following Brian Matthew, The Active Space resident artist, painting in this studio for many months now. Studying strange symbology, exploring fear and power, violence, aggression and economics - the process peaks this Friday at Brian’s first solo show at The Active Space.,We are very excited for an Interactive Media and Soundpainting Performance taking place this Saturday at 8PM at Outpost Artists space. Look forward to special guests Fletcher Boote, Elizabeth Devlin, and Mary Joy Patchett.,*Animated gifs via ,.","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","apostrophe,art,Art Hack Day,Ben Godward,brian matthew,Bushwick,Norte Maar,outpost artists,The Active Space","
									5 Bushwick Art Openings That Are Worth the Train Ride							",Katarina Hybenova,"					
					, | 2.28.13 | , 
				"
"Editor's Pick,Music","It’s always difficult to decide on the best 5-10 shows to feature for our weekly recommended shows column. With Bushwick’s music scene taking off, we’ve always got way more than enough great music to choose from. Now, more than ever, we’ve got a beautiful variety of venues where you can wave your hands all around - i.e. professional (,), pizza shop (,), DIY house venue (,), club (,) and even a graffitied 1-room venue (,) - for you to visit.,Indescribable , smoosh together rock, jazz, and experimental rock to create something fuzzy, beachy, and (amongst the waves of noise) calming, wandering, and pretty. Check out their ocean of noise at Big Snow on Friday., ,We love the roomy, friendly feel of The Paper Box. We also love the high energy, quirky jams from local band , All comes together perfectly at this showcase on Saturday, which also features catchy girl-fronted , and novel-riffic rockers ,., is a psychedelic drone band whose performance is pretty ,. Following in suit, the other bands at the LP Release party are also spacey, trippy, and on the verge of breaking something. This show , sell out, so get there early.,If free Brooklyn Brewery beer from 8-9 pm isn’t enough to get your attention, check out this starstudded emotional-laden rock/pop lineup, with , and ,, both of whom have been making headlines for the past few years. Expect a crowd of fun, social people, after all it’s a celebration of The Bomber Jacket, an online music publication dedicated to fairness in music that was started in Berlin and has since made a comfy home in Bushwick. Tickets ,.,Some great local bands are headlining this vibey show at La Piazette, the new pizza joint turned venue up on Grand Street. There’s something irresistibly glam about ,, who rock hard and channel equal parts imaginative dork and punk rocker. Backing them up is way-better-than-your-typical-punk-band ,, who we’ve been keeping our eyes on, and ,, who exist mostly in our communal ,.,Warning: This party is gonna get out of control. They’ve described the notoriety of headliner  ,, who runs Beats in Space radio show and is signed to DFA Records, on their ,: “The first time Tim Sweeney ever played my former venue it was so intense that roughly a dozen NYPD vice squad haters raided the spot and threw me and my fellow rave facilitators in jail. The second time we booked him the party hit capacity (350 people) during the opening DJ’s set.” So, pregame early, arrive early, and if you’re lucky you’ll be staying late.",strict rule breaker. photographer. music obsessee. brooklynite.,"Big snow,bossa nova,crazy pills,Dragons of Zynth,Jane Eyre,La Piazetta,Miniboone,Paper Box,PC worship,PUNKS ON MARS,silent barn,Tim Sweeney","
									Throw Your Hands in the Air! Top 6 Music Shows This Weekend							",Maria Gotay,"					
					, | 2.28.13 | , 
				"
In the Hood,"As I recently reported, I hosted a Match-Up Mash-Up Game Show at the ,’s FANTASTIC ,at ,. Besides the game show, there was a DJ! And art! And best of all, there were all the , people in one place at the same time! All in all, it was a really great time.,So back to the topic at hand – the matching up of the Bushwick Valentine’s Day Apocalypse Party Match-Up Mash-Up contestants.,There were three couples matched up with the help of art world star couple, , I brought them in because they are a happening couple and therefore living proof that they know how to make good matches. After Jennifer and Paul matched couples up, I grilled them and passed judgment on whether I thought they were a likely pair. If I wasn’t convinced that they would be, I would throw that person back into the crowd and Jennifer and Paul would have to pick again.,This all makes me sound like a horrible person, right? Well yes, right you are. But quite honestly everyone was a great sport and we all had a good time. Plus, people who didn’t know one another before got to meet and ice was broken. Therefore, I have rationalized all my evil doings.,The audience voted Katey and Michael to be the winning couple. I like them both very much and they are good-looking, so Katey and Michael won a gift certificate for a dinner at ,. (Big shout out to Tandem for gift certificate as well as , plus , for contestant prizes – thank you!),From my casual observance as a self-proclaimed psychotherapist, they seemed like they would definitely have a nice time. Although it was hard for me to determine their chemistry through their appearance alone, they appeared to be the most mature of the couples, not just in age but in comportment. When people act like grownups, it’s harder for me to make a quick judgment on if they would wind up in the sack or not.,I sent them a questionnaire to find out the details for you all. I think they will for sure have a friendship, which is always a good way to start out a marriage. Holy shit, did I just say marriage? Kidding!,Here are Michael’s answers with the questions I sent him:, Michael, 33, Insurance Actuary,###      (Dr. Lisa’s note: What does “###” mean I wonder?),And here are Katey’s responses to the same questionnaire:, Katey, 31, Curator, (Dr. Lisa note: I’m loving this! They got together after their date at Tandem all on their own!!!),Before I finish here, I want to make you know who some of the outstanding creative people are that made the entire Bushwick Daily party a blast such as: my house band ,, DJ ,, musician ,and the well-curated , art exhibition by our own ,., I think that Katey, Michael, and everyone that showed up and participated gets a big round of applause from me for putting themselves out there. Do I think Katey and Michael have a future together? Absolutely! But it’s too soon to tell exactly what kind. Nevertheless, they seem to have some enjoyment and appreciation of each other, so they are both winners.,The moral of the story here is that they made an effort to have some growth in their lives and got to meet new people, and they got a free meal to boot. This is a good thing for all of us to remember – be friendly and make new friends. I’ll check back with them in a couple of weeks and let you know how it’s going. I’d love to know what your best guess is for their future – write to me or leave a note in the comments. And if you see them out in the hood, be sure to say hi!","Dr. Lisa, S.P., is a self-proclaimed psychotherapist, artist, performer and comedian. She's had about ten years of experience as Dr. Lisa, with hundreds of patients, onstage and off. She's been featured in The New York Times, The London Times, and The Huffington Post. You can find more information about Dr. Lisa here: http://www.lisalevyindustries.com/","Bushwick Daily,dating,Dr. Lisa Levy,post-valentine's day apocalypse","
									And the Winner Is…Meet the Mash-Up Match-Up Game Winning Couple!							",Dr. Lisa Levy,"					
					, | 2.27.13 | , 
				"
In the Hood," [DNA info], [The L Magazine], [The L Magazine], [NY Times], [PaperMag]","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Brooklyn,Bushwick,reading list","
									Reading List: Say Good Bye to Boston, Bushwick Sandwich Bandit & More!							",Katarina Hybenova,"					
					, | 2.27.13 | , 
				"
Arts and Culture,"In a move that will delight book lovers and art fiends alike, the book-centric blog , has opened a permanent store in Bushwick. , began BABS in May of 2012, working mostly out of her living room. The project began as an art book blog, exploring book-centric exhibitions, interviewing self-publishing artists, and documenting independent publishing events. Because Breslav has chosen not to clearly delineate the boundaries of BABS (Curatorial project? Artistic endeavor? Publisher?) she has a unique versatility and has been free to work with a wide variety of artists.,As of January 2013, Breslav’s project now has a permanent home in Bushwick at ,. Schema is a gallery that deals exclusively in works of art on paper. The space opened a little over a month ago by artist Mary Judge to explore the role of drawing in the creative processes of all fields. The space exclusively features exhibitions of works on paper, which is where Blonde Art Books comes in. Breslav curates a small, permanent art book exhibition and store within Schema Projects. The store currently includes books, journals, and other publications by a whole slew of innovative artists.,The next exhibition at Schema Project opens ,. The exhibit will be curated and organized by Blonde Art Books. Four artists (Brian Belott, Matthew Craven, Sara Cwynar, and Jen Liu) will display work done with collage, photomontage, and painting on paper. The artists have also submitted work created specifically for the exhibition. If you can’t make it to the gallery, or even if you can, be sure to check out an upcoming video interview between Breslav and the curators of an exhibit at The Elizabeth Foundation, on the Blonde Art Books ,.",Frances Gill is a scientist and a yoga fanatic.,"blonde art books,books,Bushwick,Schema Projects,Sonel Breslav","
									Regardless of Your Hair Color: Blonde Art Books Opens in Bushwick!							",Frances Gill,"					
					, | 2.27.13 | , 
				"
Arts and Culture,"It’s that time of the year when the , returns to the ,. 60 hackers and artists will spend three days collaborating, creating and producing new projects. The theme for this year’s Art Hack Day is ,:,Their efforts will be digitally exhibited at the ,, but for one night the audience will be invited to interact with the projects in real-time at 319 Scholes. On Saturday, March 2, 2013, the visitors will be invited to participate in festivities that will include live performances and a massive party. You can RSVP to the event on ,, where you can also check out the full list of participants.,Check out how the last year’s Art Hack Day went:, from , on ,.",An explorer of sorts. From Greece to France to the United States I love to find beauty in a world of straight lines.,"319 Scholes,art & technology,Art Hack Day","
									It’s Art Hack Day at 319 Scholes on Saturday!							",Dimitrios Manousakis,"					
					, | 2.27.13 | , 
				"
