category,body,about,tags,headline,author,metatext,post
In the Hood,"
Alicia Torres from Ridgewood Bushwick Senior Citizens Council is the mother to a brilliant idea: To organize a collection of prom outfits for boys and girls from local high schools. “Some kids don’t go to prom because their parents can’t afford to buy them a prom dress,” Alicia told us. We all know that prom is an important event in the social life of a teenager. Here is how you can get involved.,The OST-HS program is collecting dresses from February 25 to April 5, 2013 in three locations. New or gently worn , can be dropped off at:,According to Alicia Torres, collected outfits will be presented in a “boutique” where the kids will be able to come and pick them up, and have a nice prom experience.,So guys, as part of your spring closet cleaning, look out for potential prom stuff for donation. Your reward will be a fuzzy warm feeling in your chest, knowing that a Bushwick teenager will be having the time of his/her life!,For more information call Alicia Torres at 718-381-9653 or email her at atorresATrbscc.org","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Alicia Torres,prom season,Ridgewood Bushwick Senior Citizen Council","
									Donate a Prom Dress to Bushwick High School Kids!							",Katarina Hybenova,,
"Featured,Food and Drink","On the corner of Stockholm and Irving, nestled between still-naked oaks and post-war brick apartment buildings, is a friendly new neighborhood restaurant. Inside, it’s all muted yellows and touches of green. Cookbooks sit atop a high shelf, a whitewashed bench lines the length of the restaurant, a honeycomb hangs from a twig – , seems like a campground cabana in late summer.,Fritzl’s Lunch Box opened virtually a couple of days ago. Its owner, Dan Ross-Leutwyler, is a former chef of the now closed Bellwether in Williamsburg. Dan’s extensive cooking experience includes running the kitchen at Fatty Cue at Manhattan, as well helping to start things up at Roberta’s a couple of years ago. “We saw an opportunity to open a restaurant in a much smaller scale in Bushwick; also we felt an absence of this kind of a restaurant,” Dan told us. Although its name sounds like a German immigrant’s cafeteria, the food is very nouveau Brooklyn – soups, salads, a dash of Mediterranean, whole fish, pasta, all served in a friendly, forthright manner. Fritzl’s has a nice selection of wine and beer (only cans and bottles, no drafts unfortunately).,While I enjoyed a kale salad with black radish and tofu dressing ($7), neighbors popped in to take a menu and congratulate the new restaurant on opening. The Zombies played as I cut my crispy lamb, beet and yogurt sandwich($9.50). And after the whole black bass, flaky with a gingery touch of heat, I tried a cinnamony Oregonian vermouth to cleanse the palate. I followed that with the irresistible banana cream pie from Pies ‘n’ Thighs. The chef Dan is particularly proud of the Blood Sausage Tamale ($3), Hamburger ($8) and Pork Ragu Rigatonici ($11). Affordably priced and mostly delicious, Fritzl’s is definitely worth a second visit. The atmosphere is comfortable and engaging and the service is excellent.","Daniel Ryan Adler is a Brooklynite by birth, and has also lived in Portland. His bicoastalism is not nearly as difficult to handle as his poetic nature. He values suffering for the happiness lies embedded within. He is done traveling.","Bushwick,fritzl's lunch box,irving ave,pies n thighs,the zombies","
									Fritzl’s Lunch Box Just Opened on Irving Ave							",Daniel Ryan Adler,,
"Featured,In the Hood"," ,Last Tuesday night, , hosted , - an over-the-top, balls-to-the-walls drag performance showcase. Here are some photos of the outlandish extravaganza taken by photographer, Chris Stach. What’s the new word for fierce?, , , , , , , , ",I am interested in immersive experiences of all kinds. Follow me on Twitter @radish10.,"Bushwick,Chris Stach,drag,locally grown,Tandem Bar","
									Outlandish Extravaganza: 10 Portraits of “Locally Grown” Drag Bushwick Performers							",Ashley Mathus,,
Music," ,Thursday was the second official day of Bushwick Daily’s journey down South. With temperatures reaching up to 85 degrees today, we finished the night with more than a sunburn and a beer buzz- we also got heated up over some great performances and Austin, TX sightseeing., , , , ",strict rule breaker. photographer. music obsessee. brooklynite.,"Austin,Bushwick,music,SXSW","
									SXSW Day 2: Lakes, Art Installations, Dueling Violinists & More!							",Maria Gotay,,
Arts and Culture,"It’s been ages since Armory Week ended (ok, not really ages, only like 5 days), but if you’re a proper art junkie just like us, you’re already anxiously planning your art weekend in the Bushwick area. So what are the best shows to see this week? We’re glad you asked…,Money doesn’t grow on trees but new galleries do grow in the most artistic neighborhoods of New York. This week we will be welcoming TRANSFER Gallery and Alexandra Gorczynski as they debut in the thriving art world of Bushwick. Alexandra with her debut solo show Truisms will be providing us with her personal look at the metaphors inherent in a networked life. We are excited to welcome them both in their debuts at the opening reception of the show on March 16th at 7pm. (,)",,,"
									You Must See These 5 Brilliant Art Shows: Net Art, Photography, Crucifixion							",Editors,,
In the Hood," ,To showcase the Bushwick conscience, I document the lives of its residents through random pictures, quotes, stories, and anecdotes from sidewalk strangers—whether it be the man donning a Tom Selleck mustache the girl with the toaster tattoo, or some homeless guy.,I aim to capture the drunk, horny, introspective, romantic, philosophical, all-too-topical, deeply-personal, and random penis-drawings of your neighbors. Is it a DIY celebration of on-the-spot creativity of Bushwickers? Maybe a little bit. Or maybe it’s a collection of drunken endeavors, mid-morning anxiety, and more drunken endeavors. That’s up to you.,“Here, I have a random-ass question for you. For the past year of my life, I’ve been documenting everything I do via random, pictures, quotes, and anecdotes from the strangers I meet. I’d love it if you’d write or draw whatever the Hell’s on your mind right now.”,Q.,“Yes, anything. It doesn’t matter. Stream of consciousness. Go!”,Q.,Pause. Person writes.,“Awesome. Can you read it to me dramatically?”,Living in an area filled with artists, musicians, and…artists-turned-musicians—strummin’ paintbrush-style—maybe I naively assume the egg of imagination is always fertile here.,What I find are romantics…,… horny and not so romantic…, ,…mostly horny—something’s fertile., , ,But, at some point, drunkenness consumes.,Drunker…,Still drunker…,Finally, a secret!,It may have taken Hunter S. Thompson liquor, cocaine, and a Jacuzzi to enter a creative conscious.  I’m hoping it only takes you a notebook, pen, and thoughts. If you happen to be on the Thompson diet, even better., ","Manufactured in Detroit and displaced east--kind of like Ford. I write and joke and, generally, quote too much Elton John.","Bushwick,bushwick says","
									BUSHWICK SAYS…I’m Drunk. But Not Hammered. Or Plastered							",Tommy Burson,,
"Featured,In the Hood","Who needs Central Park when you have Maria Hernandez Park? Shopping at dollar stores on Knickerbocker Ave, scenic walks on Johnson Ave and romantic counting of rats on the tracks of the L train…this is all apparently the future of New York tourism. Thank you, ,. We’ll take it from here.,Bloomberg’s recommendation to explore New York’s off-the-beaten-path neighborhoods was met with a wave of disagreement by NY Post. For a second we got excited that Bushwick stood alongside the Statue of Liberty as a top destination of NYC, but then ,that Bushwick as a tourist destination essentially totally sucks.,Not only did they point out that the 83rd precinct has the same murder rate as Mongolia, they also interviewed an anonymous police officer who accused Bushwick of being “fucking chaos” and said that “it hasn’t been settled here,” which, at the very least, can be construed as racist statements. If you don’t get killed in Bushwick, you will for sure get lost, at least according to NY Post. Non-numbered streets and avenues can be pretty confusing, we agree. Guess what? That’s just like everywhere else in the world, NY Post.,Well, don’t go to Bushwick if you want to keep pursuing your fake, dream. But if you want a bite of the real pulsating life, Bushwick will open its arms to you and show you its wonders!,So why should anybody ever go to Bushwick?,When we say exploding, we mean ,. Warehouses, apartments, storefronts, and other unlikely spaces have been proudly serving to showcase art. Let’s not forget to mention ,, an annual fantastic festival organized by an all-volunteer organization Arts in Bushwick where hundreds of artists open their studios to thousands of interested people.,You can say whatever you want about Roberta’s. Yes, there is a 3-hour long wait and, yes, people go there to be seen, but the founders of Roberta’s have undoubtedly done something right. They practically own pizza and, on top of that, they gave jobs to about 180 people. Read this awesome , a truly inspiring story!,Where else can you continue your college life after college as effectively as in McKibbin Lofts? You can live with seven roommates, a hamster and a pool table if you like. Thankfully/Unfortunately the wild days of McKibbin Lofts seem to be over, as the ,. You will even be able to get some sleep there now.,Let’s say you need a love potion to win the heart of your hot neighbor or a voodoo doll to show a little something to your landlord? How about even something less exotic, like incense, a statue of black Jesus or prosperity candles? Where would you go? To one of the ,, obviously.,Amen! Even ,! Additionally, you can stroll endlessly, eating incredible tacos from Tres Hermanons (Anthony Bourdain came all the way out here) or sipping awesome juices from Mr. Kiwi or randomly eating $1 ice cones. Bushwick = yum!,Silent Barn, Shea Stadium, Rock Bottom, Paper Box, the list goes on and on. Follow our rich music section if you want to know which music venues and bands are hot right now.,Even , hungrily rushed to Bushwick for the world’s best party ever. And that was just TV; reality is a lot better. Check out ,, , and get on , to learn about the ad hoc ones.,A street art walking tour of Bushwick promises to impress amateurs and experts alike. Some of the world’s most well-known street artists have left their mark in our area – Stik’s contribution to , (Troutman and St. Nicholas) and ROA’s mural outside of the Pine Box Rock Shop (12 Grattan Street) are just a few of the must-see spots in the neighborhood. (,),The sun setting behind the gritty silhouette of Bushwick creates a rainbow in the splash of water gushing from the open fire hydrant. The kids squeak and yell, experiencing one of the most beautiful urban adventures ever.,Many Bushwick residents will swear that they have never felt so at home as in Bushwick. That is all thanks to Bushwick’s wonderful community where everybody is welcome. People of different origins and backgrounds live together in symbiosis and friendship, despite what the media may tell you. You can just stand on the street and end up talking to a stranger and/or making a new friend.,How cheap can we get some sexy spring fashion from our absolute , Knickerbocker and Broadway chain store, ,Very cheap. Check out Urban Outfitters or Jimmy Jazz styling ,by Cat Agonis.,I stumbled upon an amazing Puerto Rican Biker club/hangout with dance parties until 5AM in the alley next door to my apartment building. It has no name but it is a bumping place! There is so many various no-name “hangouts” like this that I would just laugh if a tourist from Poughkeepsie tried to wander in! (,One of the very best ways to keep a finger on the pulse is knowing where to find (relatively) cheap cigarettes. As any pack-a-day tourist will tell you, NYC is a killer on the pocketbook. Either you plan ahead and throw down on a carton, or you figure an extra hundred into your budget. However, there is another option…black-market smokes. Plus, nothing makes you feel more like a part of the club than slapping down eight bucks and wink for a pack of Camels. Of course, if I disclosed the exact location of my go-to wholesale butt dealer, that would defeat the point, now wouldn’t it? (Just look what happened out at Myrtle-Broadway.) Also, if you don’t live here, you gotta earn it. What I can do, though, is can give you some clues—(1) it’s almost on a corner, (2) you aren’t allowed inside, and (3) they have a boom box outside blasting one of two songs: that Rihanna song or that Gotye song. Happy hunting, and remember…smoking is cool but smoking on the cheap is Brooklyn cool. (,…and a lot MORE! Leave us a comment if you think of other tourist-worthy stuff in Bushwick!",,"bloomber,Bushwick,tourists","
									Bushwick Attractions for Tourists as Welcomed by Mayor Bloomberg							",Editors,,
In the Hood," ,Bushwick’s very own volunteer organization , responsible for , mega-festival, just launched their ,. Under the editorial leadership of Holly Shen Chavez, AiB blog will be functioning all year round, as opposed to only seasonal festival blogging in the previous years.,“An online journal devoted to chronicling the activities and events of our organization, as well as those of the broader creative community in our beloved Bushwick, AiB Blog is a platform that seeks to foster thoughtful and compelling dialogue about issues relevant to our neighborhood,,The AiB blog has a beautiful design and runs on Tumblr platform, so start following and reblogging now! Editor Holly Shen Chavez told us that they plan on publishing 2 to 4 articles per week. The blog is also debuting a series of original ,. Bushwick Daily is very excited to announce the third year of our close collaboration with AiB blog. We will be highlighting the most interesting stories from AiB blog, guest blogging and teaming up with the AiB contributors on features. We are happy to support what is shaping up to be another awesome neighborhood publication!,So what stories are on AiB blog right now?,Most importantly, AiB blog is looking for volunteer contributors. Email hollyATartsinbushwick.org if interested!","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","AiB,Arts in Bushwick,Bushwick,Bushwick Open Studios","
									Arts in Bushwick Just Launched Their Blog							",Katarina Hybenova,,
In the Hood,"The next key ingredient to the ,, and to getting more of what you want, is to expand. When you pour water into a cup, the cup will only hold the amount of water that equals the space available. The same principle holds true in how much you can receive. The key to expanding in the most desirable way is to make your “cup” bigger.,Expanding does not mean spacing out or checking out. It means becoming a bigger person with greater bandwidth and greater ability to receive what you want most in your life. Where is your cup so full that there is no room to hold any more? Expansion is about getting a bigger cup to make room for so much more. It’s also vital to review the contents of your relationships, your systems, your finances, your dreams, your work, your family, your hobbies, your self care, everything, and see what you perhaps want to pour out of your cup…this will help the expansion process. You are big enough to keep making space for it all, and you are also entitled to edit and choose exactly what you create space for. Every moment is a choice.,To Expand: Breathe deeply and feel into the container of your body. Give yourself 30 minutes of constructive inspiration time. Go do something that makes your inner child happy. Keep it simple. Take your inner artist on a date.,Then close your eyes and imagine. What you would like your life to feel like one year in the future? What does it feel like? Turn up the Technicolor on it and really feel into the details of what is happening in your vision. Float yourself into your own vision and see how it feels. Keep the feeling of your vision when you return, and when you are done, find one small thing you can do that replicates the feeling you have from your imagined memory of the future. You have now started the process of expansion. ","Emily Tepper is Ritual Designer & Owner, Bushwick Pilates.","Emily Tepper,ritual to receive,the ritualist","
									The Ritualist: A Ritual to Receive: Expand!							",Emily Tepper,,
"Arts and Culture,Featured","It has taken us all a few days to convalesce after the excitement surrounding the plenitude of events, openings and parties that surrounded ,. The whole city seemed to come alive as artists, gallerists, dealers and arts enthusiasts actively engaged and buzzed around all corners of the five boroughs, and our own home-grown , was no different. Despite the fact that many of the galleries were also participating in other events including ,, ,, , and ,, thirty galleries rallied to stay open past their normal business hours to welcome the swarms of visitors who participated in the gallery tour.,Because there is always too much good stuff to see, Katarina Hybenova and Allison Galgiani decided to divide and conquer, choosing some of their favorite shows of the night to share.,566 Johnson Ave.,Brooklyn, NY 11237,Brian Matthew: ,On view until March 31,In a more modest gallery, the large format multi-canvas compositions of , might have overwhelmed the viewer. However, The Active Space provides an ideal outlet for these massive compositions that demand enough space in which to view them. Each composition connects its disparate canvases together through the use of a singular color scheme—i.e. red, yellow and even grisaille—which in turn unifies them thematically in what first appears to be unassociated images. Matthew presents a burning tree, for example, next to a vintage image of nurses at work, and a shadowy depiction of a person descending a staircase below a cowboy herding cattle on a dusty plain. The lack of cohesion between the various images only adds to their intrigue, and allows the viewer to create his or her own connections between them. (AG),56 Bogart Street,Brooklyn, NY 11206,Sharon Lawless:,On view until March 17, singlehandedly overwhelms the gallery space at Robert Henry Gallery, seamlessly binding together her individual compositions into a unified installation. She refuses to let the edges of the museum board, on which these works are constructed, be the boundaries of a composition and instead draws and paints directly onto the white walls of the gallery space to physically connect her works. The installation works so well together that it is almost impossible to imagine a single disparate work existing without its neighbors. Referencing the cosmological tenants of ,, Lawless’s installation literally runs with the idea that new matter is continuously created as the universe expands, allowing her to create endless connections and links between existing matter in what could be an endless, neverending chain. (AG), ,66 Knickerbocker Ave,Brooklyn NY 11237,Rachel de Joode: ,On view until March 17, playful exploration of material properties typically associated with sculpture—volume, texture, scale and space—creates both a whimsical and unnerving exhibition. de Joode disrupts our assumptions that clay has a texture (by presenting it as a photograph) and that the base of a sculpture should possess volume (by printing it) causing the viewer to question his or her concepts of what constitutes matter. The pieces are particularly effective in Interstate Projects’ new location on Knickerbocker, with its uber-white walls and ample space. (AG), ,56 Bogart Street,Brooklyn, NY 11206,Kate Teale:,On View until April 7,‘s works, primarily graphite on paper, possess a wonderfully subdued quality that allows the viewer to practically be engulfed by the warm folds of her bed linens and sea swells, the subjects of the various compositions. Teale juxtaposes the concepts of intimate domestic space with the awesome natural power of water in her quiet, understated freeze-frame quality. It is nearly impossible to differentiate between domestic and environmental landscape, as both the creases of a bed sheet or mists of a waterfall meld into the same abstracted concept. In both instances, whether naturally occurring or manmade, Teale pushes the boundaries of what constitutes environment and causes the view to second-guess ideas of scale and power. (AG), ,253 Wilson Ave.,Brooklyn NY,Molly Costello & Mercedes Inez Martinez: ,On view until April 6, 2013,Chicago-based artists Molly Costello and Mercedes Inez Martinez drove from Chicago to Bushwick to create one of the best shows currently on view in the neighborhood. Costello and Martinez’s complementary works are intimate, gentle, feminine and refreshing. Costello creates enchanting representational collages based on invented star constellations embedded with mystical female figures. Mother? Natural and cosmic element? Perhaps. Martinez’s black light star constellation is a beautiful addition to an unforgettable cosmic night. (KH),114 Forrest St. Ground Floor,,Brooklyn, NY 11206,On view until April 7, 2013,Chris Harding and English Kills gallery did it again. This wonderful, exciting art show comprised of pyramid-shaped works of some of the English Kills all-star artists is a must attend. , will surprise the viewer with its exploration of the magical pyramid shape across various media and artistic approaches. Some particular visual treats come from the studios of Nate Anspaugh (a labor-intensive paper layered pyramid), Deborah Brown (alas! we can never get enough of her works), or Jason Peters (a gigantic fluorescent pyramid, which is really something to lay your eyes on)! (KH), ,260 Johnson Avenue,Brooklyn, NY 11206,Reade Bryan:,On view until March 31, 2013,It is highly advised that you not miss Signal, a gallery located in a huge warehouse deep on industrial Johnson Ave. Unlike many Bushwick galleries, Signal has an enormous space, which allows them to showcase large works of art and complicated installations. , is a solo show of a remarkable local artist, Reade Bryan, who creates abstract sculptures made of rubber and stacked plywood. Organic shapes, hinting at a human body seen from atypical angle, are an eye-pleasing surprise when contrasted with the industrial environment of East Williamsburg Industrial Park. (KH), ","Allison Galgiani is a writer and fine arts professional from Tucson, AZ, and now lives in Bushwick.  A recent M.A. graduate from Christie's Education, she is pursuing her career in freelance art writing, independent curating, and is a proponent for emerging artists in Brooklyn and elsewhere.","art walk,bushwick armory night,Bushwick galleries,English Kills,late night,outlet fine art,robert henry conte,signal,Studio 10,The Active Space","
									Top Picks from Bushwick Gallery Armory Late Night							",Allison Galgiani,,
Music,"We write from a land far away, in Austin, TX, and far too late and far too many free beverages into the night. This is our official coverage of SXSW day 1: including pics of ,, ,, ,BBQ, a glittery pool, and some scenary!, , , , , , , ,STAY TUNED for more coverage of our favorite moments and scenes from the music portion of SXSW 2013. Like what you see? Want to add your own? Just tag “BDsxsw”.",strict rule breaker. photographer. music obsessee. brooklynite.,"2013,Austin,foxygen,hundred waters,lord huron,savages,SXSW,sxsw music","
									SXSW Day 1 in Pictures: BBQ, Backstage, and Lord Huron up close							",Maria Gotay,,
Music,"You remember when we invited you all to the , live video taping of the new ,? It all went down at the church on Bushwick Ave, and it was so much fun! Plenty of you came (“Yo, Jen!”), and some of you even got to jump on a huge trampoline. (Trampoline jumping at a church…. Doesn’t that sound like a potentially weirdest and coolest day in your life?) We even got a chance to speak with The Pains themselves, and ,.,Now MTV Iggy released the Behind the Scenes video, so check it out, maybe you’ll spot yourself in the crowd. We are excitingly awaiting the release of the video itself, so stay tuned, we’ll keep you posted!","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Bobby Redd Projects,bushwick church,MTV Iggy,the pains of thein pure at heart","
									Behind the Scenes with MTV IGGY and The Pains of Being Pure at Heart in Bushwick							",Katarina Hybenova,,
In the Hood,"As an advice columnist, I often read other advice columns for inspiration. ,It’s from Slate.com; the advice columnist there is , or as she calls herself, Dear Prudence. To sum it up if you’re too lazy to go to the link, the letter is from a guy with a condition called  , which is a real condition. The guy with the condition is asking Prudence advice about how to “handle” (ha ha) his situation because every time he gets to where he wants to be, the chicks can’t handle it. They say shit like, “Aww, it’s so cute!” Prudence/Emily advises the guy to meet a woman on a website where he can be upfront about his, um, condition, so he’ll know that the woman is interested in him in spite of his shortcomings (ha! I’m on fire here!). I have to say, I give this guy a lot of credit for reaching out. He’s probably a very cool guy having to have dealt with all that and doesn’t take the ladies for granted.,I think Emily Prudence gave him pretty good advice. The one thing I would have added is something she didn’t address: how to meet and work with women in real life, not on the web. I would encourage him to get to know women who he feels he can trust; to make friends, if you will. He needs to take his time and, once he gets to know them, talk to them directly about his condition before he gets sexually involved with them. I mean, that’s great advice for anyone, under any circumstances, if you can swing it. One night stands are completely out for this guy, though. That’s just asking for trouble and setting him for more trauma when he becomes vulnerable to an unpredictable stranger.,Why do I bring this up? Sure, it makes for a rocking headline, but it also helps to educate all of us on sexual anomalies. This situation should give you some perspective on your own dating difficulties. Guess what? We all have our own brand of them. Even Taylor Swift. (Bullshit! That’s marketing.) You can also find photos of this condition on the web, but you’ll have to look that one up yourself., ,As I requested last week, someone sent in their art. Marty Gordon was the only person to do this! My self-esteem is in the dumper. Doesn’t anyone besides Marty want their art analyzed? Luckily Marty’s work is good stuff.,Judging from what I see of Marty’s work, it’s obvious he’s got a good sense of humor. He’s also got some issue with religion. I’m guessing he was brought up in a strict Catholic family and as he matured he began to see moral hypocrisy and disrespect for science in the church. I think this disappointed and hurt him. I’m also thinking he may be angry about feeling “tricked” as a child by the church and his parents into believing all this mishegas that turned out not to be true. What’s even more hurtful is that the authority figures in his life still believe in all of that morality bullshit. They think Cro-Magnon man walked the earth at the same time as humans, which we know is absolutely not true whatsoever.,I wonder how Marty’s sexuality was affected by his religious upbringing. (I know, I’m really going out on a limb here.) It seems to me that his work has a very self-consciously whitewashed sexuality. A sort of wholesomeness with a wink. I’ll bet Marty’s a romantic guy who still likes to keep a bit of mystery around sex, a private-type guy who is likely fun in the bedroom. I had a thought that he might be homosexual or even bi, since it’s hard to be sure about his sexual preferences from the photos and cartoon bubbles. Even the Marilyn Monroe chick has, for this type of thing, pretty small boobs, which is as far as I can tell a conscious choice to not show typical Kate Upton type boobs. There’s a certain kind of inhibition, I’d say. It could mean respect for women, ie: they’re more than just boobs. Or maybe Marty just feels awkward or indifferent to boobs.,What I appreciate most about Marty, through my perceived assessment of his work, is that he works out his hurt and disappointment about the church through his sense of humor, which is super healthy. Plus, he must have a balanced ego that allows him to maintain an emotional distance from the church and not take any of it personally. I’ll bet creating this work and balancing himself emotionally through it makes the rest of his life much nicer.,I sent this analysis to Marty, so I’ll let you know what I hear back.,Come to this! Friday night, March 15, an improv group, ARTPROV will be doing 6 scenes, each one inspired from a piece of my art work. I present a slide of my work and then they improvise a scene based on that. Sounds fun AND wacky. ","Dr. Lisa, S.P., is a self-proclaimed psychotherapist, artist, performer and comedian. She's had about ten years of experience as Dr. Lisa, with hundreds of patients, onstage and off. She's been featured in The New York Times, The London Times, and The Huffington Post. You can find more information about Dr. Lisa here: http://www.lisalevyindustries.com/","advice columnist,Bushwick,Dr. Lisa Levy","
									Dr. Lisa: Have You Ever Heard of a Micropenis?							",Dr. Lisa Levy,,
"Fashion & Shopping,Featured","So in this FIRST EVER edition of ,, we’re gonna tackle this spring’s current fashion, and just how cheap we can get it from my absolute , Knickerbocker and Broadway chain store, ,. And while we explore it, I know y’all are going to forgive my cheesy smile and otherwise ridiculous faces in these photos cause you know modeling in any capacity is hard, especially when you’re already an awkward human being who feels weird about life in general, and then on top of it my boyfriend took these photos of me at 9AM after an altercation with some dudes in a Frito-Lay shipment truck who thought hootin’ and hollerin’ was a good idea. So yeah, shit was real strange that morning, before yours truly even had her coffee. But enough with the disclaimers, yo. Let’s do this!,Alright ladies, springtime’s a-comin’. You know you felt it last Saturday when all y’all asses jumped the gun, layering tights with shorts a little prematurely just cause it was 50 degrees out. Yeeepp. I bet you later regretted the choices you made when the wind blew straight through the holes in your stockings on your way home from the L train. (I speak for myself, here.) And if you’re anything like me, you’re dying for your spring look NOW but just aren’t willing to blow the bank on new threads when you know rent is once more right around the corner. Laaaamme.,It’s true. At this stage in life I won’t go anywhere near a sale at Rag&Bone or Marc by Marc Jacobs, even if it’s Marc by Mark-it-up by Marquee Jacobs for Target. No no no no no. I won’t even enter a hip lower-grade version of the high-class places that are directly marketed towards me like Urban Outfitters, H&M or Top Shop because a decent in vogue dress at those joints is still running some odd $60, which is way too much for something that’s not an amazing meal with the gals or savings towards a flight somewhere with palm trees. Y’all can keep your bourgeois names, diffusion lines & clearances to yourselves as long as Mandee, Strawberry and Expo 2000 are around, where the most expensive thing is, like, $29.99.,So, as proven by Emanuel Ungaro’s recent ,and Marie Claire mags all over every doctor’s office in Midtown, polka dots will soon (and always!) be our BFFs. While it’s true that the Ungaro show is for Fall/Winter, I HAVE been seeing polka-dots every freakin’ where I go, like this is a 1950′s Beaver-Cleaver revival or something. And if you’ve missed the bustle-waist bodycon dress look that everyone from Kim Kardashian to the local hairdresser has been rocking for the past two years, now’s your chance to kill two birds with one price tag. ,Because the skull print will never (ever!) die thanks to 2006 & the year of Luella Bartley, here’s the obligatory top with some skeleton heads on it – so subtle you can barely see them embedded within the Tiffany green fabric. This shirt is also in season given its bright colors, and probably the only thing I’ve included in this post that can actually be worn to both work and a pre-Easter Brunch at Cafe Ghia or Mazelle. But, more importantly, work…where, ya know, they pay me money to do stuff. ,Do I adore Lana Del Rey’s all-American style? Why, yes I do! Although Lana Del Rey is rich as hell, famous and has probably never been to Bushwick or East Williamsburg (or whichever title makes me feel better about my life that moment), I can be just as U.S.A.-dreamy as her with this white and blue sheer top that comes in both stripes and, once again, POLKA DOT PANELING. After spring, I plan on recycling this sucker for the good ol’ 4th, where I can match said ensemble over a not-so-subtle red bikini top. All for the random price of ,.,Soon enough, it will once again be all about ,. Learn to bring out a wearable look in your otherwise Versace-gold-crusted , heart. (Elizabeth Berkley <3 u 4evr). This tie-top goes perfect with the micro mini for the cruise I’m gonna pretend I’m on, when in reality I’ll be at some rooftop loft party, allowing a drunken stranger to banter about some book I should ,read while I sigh deeply, look out onto the skyline and internally remind myself that I need to pick up more Psssst dry shampoo. But if that all sounds depressing and weird to you (and not just like my typical Tuesday night), AND you’re upset you’re not even gonna make it as far as Florida this year, y’all can at least compromise by taking a weekend trip to Atlantic city and rock this ish fabulously on the boardwalk. You go girl! ,Flower prints over black again! Also, these leggings are really flippin’ comfortable. L.O.V.E. ,Not sure about the high-low dress that made itself known on every set of legs last year? I’m not either. I kind of love it, but still how random is this look and who the hell decided it would be a thing? (Like, why longer in the back? Why not in the front? Or the side? I need to know!) Either way, Rainbow has an assortment of these trendy jersey dresses that come in different colors to suit your complexion. They’re also mega comfy and super cheap. Personally, I don’t mind buying a flippant trend as long as I can be lazy in it around the house a.k.a. tiny ass apartment later, and it only cost me,.,Well that’s it everyone. Check out Rainbow and get your “It Girl” (whatever that means) looks for less than less…,Remember to revisit Bushwick Daily for more , to get your gangsta-fab meets hipster-fad fix. Peace out, squirrel scout.,416 Knickerbocker Avenue,
Brooklyn, NY 11237,773 Broadway,
Brooklyn, NY 11206,1295 Broadway,
Brooklyn, NY 11221,685 Grand Street,
Brooklyn, NY 11211,302 Broadway,
Brooklyn, NY 11211","To me, life is meant to be classy-trashy. Nothing’s better than bouncing from a rooftop terrace-soiree and rolling into a warehouse party in the same leopard-print dress. 

Chicken on the Hudson is my novel. If you want more I’m totally accessible. Get at me on Twitter and turn that follow button blue so I can get to know about you!","bushwick chic,fashion,jimmy jazz,rainbow,urban outfitters","
									Urban Outfitters or Jimmy Jazz? How I’m Styling My Spring Wardrobe							",Cat Agonis,,
